outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2004-06,"Vermont Rural Southeast",0.0223786726,0.01567609,0.0318543178
Cocaine Use in the Past Year,12 to 17,2004-06,"Vermont Rural Southeast",0.0185321848,0.0108247313,0.0315524684
Cocaine Use in the Past Year,18 or Older,2004-06,"Vermont Rural Southeast",0.0227742739,0.0156071646,0.0331219157
Cocaine Use in the Past Year,18 to 25,2004-06,"Vermont Rural Southeast",0.0875418514,0.0615151148,0.1231355497
Cocaine Use in the Past Year,26 or Older,2004-06,"Vermont Rural Southeast",0.0143782959,0.0082912281,0.0248223753
Cocaine Use in the Past Year,12 or Older,2004-06,"Vermont Rural Southwest",0.0264837445,0.0185755214,0.0376296743
Cocaine Use in the Past Year,12 to 17,2004-06,"Vermont Rural Southwest",0.0195325627,0.0110217225,0.0343868624
Cocaine Use in the Past Year,18 or Older,2004-06,"Vermont Rural Southwest",0.0271996728,0.0187276375,0.0393506063
Cocaine Use in the Past Year,18 to 25,2004-06,"Vermont Rural Southwest",0.096301098,0.0671361723,0.1362847421
Cocaine Use in the Past Year,26 or Older,2004-06,"Vermont Rural Southwest",0.0169820169,0.0098086566,0.0292465176
Cocaine Use in the Past Year,12 or Older,2004-06,"Virginia",0.0249584989,0.0197770246,0.0314539309
Cocaine Use in the Past Year,12 to 17,2004-06,"Virginia",0.0135467828,0.0094308167,0.019423888
Cocaine Use in the Past Year,18 or Older,2004-06,"Virginia",0.0262451262,0.0205849133,0.0334086327
Cocaine Use in the Past Year,18 to 25,2004-06,"Virginia",0.0767613064,0.0617317682,0.0950792131
Cocaine Use in the Past Year,26 or Older,2004-06,"Virginia",0.0179346204,0.0125791413,0.025511248
Cocaine Use in the Past Year,12 or Older,2004-06,"Virginia Region 2",0.0199027329,0.0134070885,0.0294515271
Cocaine Use in the Past Year,12 to 17,2004-06,"Virginia Region 2",0.0130149567,0.0073018998,0.023093961
Cocaine Use in the Past Year,18 or Older,2004-06,"Virginia Region 2",0.020617854,0.0136107808,0.0311184889
Cocaine Use in the Past Year,18 to 25,2004-06,"Virginia Region 2",0.0619198397,0.0418397976,0.0907243487
Cocaine Use in the Past Year,26 or Older,2004-06,"Virginia Region 2",0.0145226911,0.0081722337,0.0256801743
Cocaine Use in the Past Year,12 or Older,2004-06,"Virginia Region 3",0.0267368501,0.0186973187,0.038099032
Cocaine Use in the Past Year,12 to 17,2004-06,"Virginia Region 3",0.0151179818,0.0085702323,0.0265343951
Cocaine Use in the Past Year,18 or Older,2004-06,"Virginia Region 3",0.0279499119,0.0192545555,0.0404102913
Cocaine Use in the Past Year,18 to 25,2004-06,"Virginia Region 3",0.0996737685,0.0695091954,0.1409458558
Cocaine Use in the Past Year,26 or Older,2004-06,"Virginia Region 3",0.0164402457,0.00940421,0.0285885729
Cocaine Use in the Past Year,12 or Older,2004-06,"Virginia Region 5",0.0262602819,0.0182286836,0.0376947516
Cocaine Use in the Past Year,12 to 17,2004-06,"Virginia Region 5",0.0106670797,0.0058407355,0.0194037125
Cocaine Use in the Past Year,18 or Older,2004-06,"Virginia Region 5",0.0281856297,0.0193140899,0.0409619276
Cocaine Use in the Past Year,18 to 25,2004-06,"Virginia Region 5",0.065973622,0.0454770735,0.0947906022
Cocaine Use in the Past Year,26 or Older,2004-06,"Virginia Region 5",0.0210028657,0.0124642405,0.0351824811
Cocaine Use in the Past Year,12 or Older,2004-06,"Virginia Region 1",0.0263542921,0.0185759085,0.0372660814
Cocaine Use in the Past Year,12 to 17,2004-06,"Virginia Region 1",0.0180868014,0.0102939328,0.0315908371
Cocaine Use in the Past Year,18 or Older,2004-06,"Virginia Region 1",0.0273490489,0.018951077,0.0393193417
Cocaine Use in the Past Year,18 to 25,2004-06,"Virginia Region 1",0.0929900735,0.0641847764,0.1328870998
Cocaine Use in the Past Year,26 or Older,2004-06,"Virginia Region 1",0.0160049393,0.0092304587,0.0276128232
Cocaine Use in the Past Year,12 or Older,2004-06,"Virginia Region 4",0.0278795018,0.0188795044,0.0409906146
Cocaine Use in the Past Year,12 to 17,2004-06,"Virginia Region 4",0.012748079,0.0072752025,0.0222457481
Cocaine Use in the Past Year,18 or Older,2004-06,"Virginia Region 4",0.029612856,0.0197733177,0.0441282908
Cocaine Use in the Past Year,18 to 25,2004-06,"Virginia Region 4",0.0749169914,0.0523318332,0.1061574805
Cocaine Use in the Past Year,26 or Older,2004-06,"Virginia Region 4",0.0225960968,0.0131528592,0.0385543315
Cocaine Use in the Past Year,12 or Older,2004-06,"Washington",0.0250122839,0.0201365492,0.0310312101
Cocaine Use in the Past Year,12 to 17,2004-06,"Washington",0.0169948549,0.0121544242,0.0237166793
Cocaine Use in the Past Year,18 or Older,2004-06,"Washington",0.0259129162,0.0205768955,0.0325866403
Cocaine Use in the Past Year,18 to 25,2004-06,"Washington",0.0860781919,0.0694739513,0.1061979367
Cocaine Use in the Past Year,26 or Older,2004-06,"Washington",0.0156808544,0.0109261422,0.0224576867
Cocaine Use in the Past Year,12 or Older,2004-06,"Washington King",0.0294141969,0.0210126809,0.0410340979
Cocaine Use in the Past Year,12 to 17,2004-06,"Washington King",0.016581097,0.0096593375,0.0283210585
Cocaine Use in the Past Year,18 or Older,2004-06,"Washington King",0.0305958934,0.0215437348,0.0432832983
Cocaine Use in the Past Year,18 to 25,2004-06,"Washington King",0.0916462208,0.0665023752,0.1250234654
